[2017-09-11 05:20:31,772]   INFO - tbrains.buildServer.ACTIVITIES - Server Started 
[2017-09-11 05:20:55,455]   INFO - tbrains.buildServer.ACTIVITIES - New user created: 'admin' {id=1} 
[2017-09-11 05:22:03,294]   INFO - tbrains.buildServer.ACTIVITIES - New user created: 'rubens' {id=2} 
[2017-09-11 05:22:03,297]   INFO - s.buildServer.ACTIVITIES.AUDIT - user_create: User "'rubens' {id=2}" was created by "'admin' (Matthew Parker) {id=1}" 
[2017-09-11 05:23:12,605]   INFO - s.buildServer.ACTIVITIES.AUDIT - project_create: Project "Volkswagen API Sites {internalId=project1, externalId=VolkswagenApiSites}" was created by "'admin' (Matthew Parker) {id=1}" 
[2017-09-11 05:23:49,191]   INFO - s.buildServer.ACTIVITIES.AUDIT - project_create: Project "Volkswagen API Sites :: Stage Deploy for vw-bookservice {internalId=project2, externalId=VolkswagenApiSites_StageDeployForVwBookservice}" was created by "'admin' (Matthew Parker) {id=1}" 
[2017-09-11 05:24:12,702]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_create: "Volkswagen API Sites :: Stage Deploy for vw-bookservice :: Package and Deploy {id=VolkswagenApiSites_StageDeployForVwBookservice_Pack, internal id=bt1}" was created by "'admin' (Matthew Parker) {id=1}" 
[2017-09-11 05:25:11,590]   INFO - s.buildServer.ACTIVITIES.AUDIT - vcs_root_create: VCS root ""VolkswagenHelper" {internal id=1, id=VolkswagenApiSites_StageDeployForVwBookservice_VolkswagenHelper, description: "null#master"}" was created by "'admin' (Matthew Parker) {id=1}" with comment "In project: Volkswagen API Sites :: Stage Deploy for vw-bookservice" 
[2017-09-11 05:25:11,970]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "Volkswagen API Sites :: Stage Deploy for vw-bookservice :: Package and Deploy {id=VolkswagenApiSites_StageDeployForVwBookservice_Pack, internal id=bt1}" build configuration settings were edited ("version before: 1, version after: 2") by "'admin' (Matthew Parker) {id=1}" with comment "'VolkswagenHelper' VCS root was created" 
[2017-09-11 05:31:44,443]   INFO - s.buildServer.ACTIVITIES.AUDIT - vcs_root_create: VCS root ""vw-book-service-api" {internal id=2, id=VolkswagenApiSites_StageDeployForVwBookservice_VwBookServiceApi, description: "null#master"}" was created by "'admin' (Matthew Parker) {id=1}" with comment "In project: Volkswagen API Sites :: Stage Deploy for vw-bookservice" 
[2017-09-11 05:31:44,847]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "Volkswagen API Sites :: Stage Deploy for vw-bookservice :: Package and Deploy {id=VolkswagenApiSites_StageDeployForVwBookservice_Pack, internal id=bt1}" build configuration settings were edited ("version before: 2, version after: 3") by "'admin' (Matthew Parker) {id=1}" with comment "'vw-book-service-api' VCS root was created" 
[2017-09-11 05:35:32,610]   INFO - s.buildServer.ACTIVITIES.AUDIT - tool_added: Tool TOOL{id=NuGet.CommandLine.4.3.0} added by "'admin' (Matthew Parker) {id=1}" with comment "Downloaded" 
[2017-09-11 05:35:32,804]   INFO - s.buildServer.ACTIVITIES.AUDIT - project_edit_settings: "<Root project> {internalId=_Root, externalId=_Root}" project settings were edited ("version before: 1, version after: 2") by "'admin' (Matthew Parker) {id=1}" 
[2017-09-11 05:35:32,910]   INFO - s.buildServer.ACTIVITIES.AUDIT - tool_default_changed: Tool version TOOL{id=NuGet.CommandLine.4.3.0} set as default in scope of project "<Root project> {internalId=_Root, externalId=_Root}" by "'admin' (Matthew Parker) {id=1}" 
[2017-09-11 05:35:58,319]   INFO - s.buildServer.ACTIVITIES.AUDIT - tool_added: Tool TOOL{id=NuGet.CommandLine.2.8.1} added by "'admin' (Matthew Parker) {id=1}" with comment "Downloaded" 
[2017-09-11 05:35:58,452]   INFO - s.buildServer.ACTIVITIES.AUDIT - project_edit_settings: "<Root project> {internalId=_Root, externalId=_Root}" project settings were edited ("version before: 2, version after: 3") by "'admin' (Matthew Parker) {id=1}" 
